	Data	Id	Label	Median	Signif	Substr	pVal
240	0.18	Median_IFI	2618	25.6675	yes	yeast	0.0010528124695498198
241	5.56	Median_IFI	2624	0.38	no	yeast	0.9662789817905177
242	25.075	Median_IFI	2625	21.4875	yes	yeast	0.0027146981449314065
243	0.14	Median_IFI	2634	0.16	no	yeast	0.25124061237500683
244	36.905	Median_IFI	2635	9.645	yes	yeast	0.007283240359214769
245	44.53	Median_IFI	4158	34.56	no	yeast	0.020087775371797546
246	29.735	Median_IFI	4159	16.822499999999998	no	yeast	0.1976673606859452
247	4.715	Median_IFI	emptySplitGal4	0.29	no	yeast	1.0
248	0.09	Median_IFI	0730	0.08	yes	yeast	2.6148780761295688e-05
249	0.1	Median_IFI	0731	0.3175	no	yeast	0.9919495025550509
250	0.24	Median_IFI	0732	0.09	yes	yeast	0.0025722336094205
251	0.23	Median_IFI	0923	0.24	no	yeast	0.30336711089679236
252	12.045	Median_IFI	1046	1.7650000000000001	no	yeast	1.0
253	14.9	Median_IFI	1052	0.245	no	yeast	0.8243330035614154
254	51.77	Median_IFI	1053	34.32	yes	yeast	2.3376174929361633e-05
255	68.56	Median_IFI	1054	2.78	no	yeast	0.16697769998509887
256	0.38	Median_IFI	1063	4.5625	no	yeast	0.1431882794569608
257	5.155	Median_IFI	1073	4.9475	no	yeast	0.0395800036377323
258	10.35	Median_IFI	1075	9.8025	no	yeast	0.06633503470962215
259	216.6	Median_IFI	1077	37.89	yes	yeast	0.0009904370673018516
260	88.01	Median_IFI	1543	35.4975	yes	yeast	0.00018933401878420882
261	18.83	Median_IFI	1545	35.53	yes	yeast	0.00015929835282465745
262	0.08	Median_IFI	1549	0.08	yes	yeast	2.192914645086058e-05
263	1.38	Median_IFI	1550	0.08	yes	yeast	0.00027919356681148735
264	106.75	Median_IFI	1554	32.04	yes	yeast	0.00015328096920419587
265	23.015	Median_IFI	1557	9.81	no	yeast	0.031097226883546433
266	0.4	Median_IFI	1558	4.48	no	yeast	0.07415218567421411
267	0.17	Median_IFI	1561	15.205	no	yeast	0.010200396988761403
268	12.09	Median_IFI	1564	13.87	no	yeast	0.055772593240298284
269	45.65	Median_IFI	1565	2.72	no	yeast	0.18254082760497736
